ID,Country,Organization,Certificate/Badge,Record Type,Category,Subcategory,Level,Price Status,Conditions,Exam/Assessment,Duration,Language,Available from Russia,Validity,Credly/Verification,LinkedIn,Official URL,Priority,Completion Status,Evidence Status,Last Reviewed,Source Page,Extraction Method,Confidence
C-015,International,Cisco Networking Academy,Introduction to Modern AI,credential,AI,AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
H-014,International,HubSpot Academy,AEO Fundamentals,credential,AI,AI search,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-017,International,HubSpot Academy,"AI for Marketing, Sales, and Service Bootcamp",credential,AI,Applied AI,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-016,International,HubSpot Academy,AI-Augmented HubSpot Stack Mini-Series,credential,AI,AI/agents,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-015,International,HubSpot Academy,AI-Readiness Accelerator Workshop,credential,AI,AI readiness,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
AI-012,International,IBM SkillsBuild,AI for Sustainability,credential,AI,Applied AI,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-002,International,IBM SkillsBuild,AI Fundamentals: Foundations for Understanding AI,credential,AI,AI fundamentals,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-004,International,IBM SkillsBuild,AI Fundamentals: Language and Vision in AI,credential,AI,NLP/CV,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-001,International,IBM SkillsBuild,AI Literacy,credential,AI,AI literacy,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-003,International,IBM SkillsBuild,Artificial Intelligence Fundamentals,credential,AI,AI/ML,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
